ts,mean_latency,stdev_latency,latencies,latencies_smoothed,first_order_deriv,second_order_deriv,packet_loss,bw_ratio
7.742843,0.04286110000000000237926900405,0.00002789999999999762073099595,0.042843,0.04288900,0E-8,0E-8,0.0,0.5127642722232376
7.842843,0.04286286250000000237936684245,0.00002613749999999762063315755,0.042843,0.04288900,0E-8,0E-8,0.0,0.5127642722232376
7.942843,0.04286240000000000237934116854,-0.00001940000000000237934116854,0.042843,0.04284300,-0.00004600,-0.00004600,0.0,0.5127642722232376
8.042843,0.04286193750000000237931549462,-0.00001893750000000237931549462,0.042843,0.04284300,0E-8,0.00004600,0.0,0.5127642722232376
8.142843,0.04286147500000000237928982071,-0.00001847500000000237928982071,0.042843,0.04284300,0E-8,0E-8,0.0,0.5127642722232376
8.242843,0.04285925000000000237916630840,-0.00001625000000000237916630840,0.042843,0.04284300,0E-8,0E-8,0.0,0.5127642722232376
8.342843,0.04285925000000000237916630839,-0.00001625000000000237916630839,0.042843,0.04284300,0E-8,0E-8,0.0,0.5127642722232376
8.442843,0.04285925000000000237916630839,-0.00001625000000000237916630839,0.042843,0.04284300,0E-8,0E-8,0.0,0.5127642722232376
8.542843,0.04285925000000000237916630839,-0.00001625000000000237916630839,0.042843,0.04284300,0E-8,0E-8,0.0,0.5127642722232376
8.642843,0.04285695000000000237903863274,-0.00001395000000000237903863274,0.042843,0.04284300,0E-8,0E-8,0.0,0.5127642722232376
